subj_idx,stim,movie,rt,response,run,accuracy,logRT
154734,Random,BILLIARD-A.AVI,0.999,0,0,1.0,-0.0010005003335835344
154734,Random,DRIFTING-A.AVI,0.761,0,0,1.0,-0.2731219211204512
154734,Mental,Fishing.AVI,1.175,1,0,1.0,0.16126814759612232
154734,Random,Random mechanical.AVI,1.056,0,0,1.0,0.054488185284069776
180836,Mental,COAXING-B.AVI,1.172,1,0,1.0,0.1587116911548208
180836,Random,BILLIARD-A.AVI,1.048,0,0,1.0,0.04688358589885046
180836,Random,DRIFTING-A.AVI,0.535,0,0,1.0,-0.6254885320861304
180836,Mental,Fishing.AVI,1.382,1,0,1.0,0.3235317253454781
180836,Random,Random mechanical.AVI,0.629,0,0,1.0,-0.4636240222816965
298455,Mental,Scaring.AVI,0.538,1,1,1.0,-0.6198967188203526
298455,Mental,SEDUCING-B.AVI,0.417,1,1,1.0,-0.8746690571833357
298455,Random,STAR-A.AVI,0.638,0,1,1.0,-0.44941699563734716
298455,Mental,SURPRISING-B.AVI,0.488,1,1,1.0,-0.7174398731289899
298455,Random,TENNIS-A.AVI,0.402,0,1,1.0,-0.9113031903631159
970764,Mental,Scaring.AVI,1.066,1,1,1.0,0.06391332574365285
970764,Random,STAR-A.AVI,0.431,0,1,1.0,-0.8416471888783893
970764,Mental,SURPRISING-B.AVI,1.068,1,1,1.0,0.06578774053800315
970764,Random,TENNIS-A.AVI,0.8,0,1,1.0,-0.2231435513142097
205220,Mental,COAXING-B.AVI,1.494,1,0,1.0,0.4014570867106256
205220,Random,BILLIARD-A.AVI,0.791,0,0,1.0,-0.23445731121448313
205220,Random,DRIFTING-A.AVI,0.827,0,0,1.0,-0.1899505839584458
205220,Mental,Fishing.AVI,1.082,1,0,1.0,0.07881118042428985
205220,Random,Random mechanical.AVI,0.512,0,0,1.0,-0.6694306539426292
782561,Mental,Scaring.AVI,0.549,1,1,1.0,-0.5996568374726063
782561,Mental,SEDUCING-B.AVI,1.316,1,1,1.0,0.2745968329031255
782561,Random,STAR-A.AVI,0.371,0,1,1.0,-0.991553216374702
782561,Mental,SURPRISING-B.AVI,0.92,1,1,1.0,-0.08338160893905101
782561,Random,TENNIS-A.AVI,1.714,0,1,1.0,0.538829820175588
211417,Mental,Scaring.AVI,1.432,1,1,1.0,0.3590720685384538
211417,Mental,SEDUCING-B.AVI,0.953,1,1,1.0,-0.048140375327934984
211417,Random,STAR-A.AVI,1.292,0,1,1.0,0.25619140536041013
211417,Mental,SURPRISING-B.AVI,1.217,1,1,1.0,0.19638881400539018
211417,Random,TENNIS-A.AVI,1.322,0,1,1.0,0.2791457414294946
